"Store Id","Item Code","Item Category","Item Name","Item Desc","Item Qty","Sale Price",MRP,UNIT,"Free Item Barcode","Free Item Name","Free Item Qty","Expiry Date","Item SKU","Last Update","Update Date"
22,12345123,3,dsdsd,jbbnmb,5,20,20,kg,5015151,2121,0,2016-09-13,0,"2016-09-16 12:17:29",2016-09-16
22,12345123,0,dsdsd,jbbnmb,10,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
22,12345123,0,dsdsd,jbbnmb,15,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
22,12345123,0,dsdsd,jbbnmb,20,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
22,12345123,0,dsdsd,jbbnmb,25,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
22,12345123,0,dsdsd,jbbnmb,30,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
22,12345123,0,dsdsd,jbbnmb,35,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
22,12345123,0,dsdsd,jbbnmb,40,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
22,12345123,0,dsdsd,jbbnmb,45,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
22,12345123,0,dsdsd,jbbnmb,50,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
22,12345123,0,dsdsd,jbbnmb,55,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
22,12345123,0,dsdsd,jbbnmb,60,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
22,12345123,0,dsdsd,jbbnmb,65,20,20,kg,5015151,2121,1,2016-09-13,0,"2016-09-16 00:00:00",2016-09-16
